Node_ID,gap_start,gap_end,elapsed_minutes,nominal_interval_minutes,approx_missing_readings
6,3/23/2022 14:05,3/23/2022 15:05,60,20,2
6,3/23/2022 15:45,3/23/2022 16:25,40,20,1
6,3/24/2022 11:00,3/24/2022 12:00,60,20,2
6,3/24/2022 16:19,3/24/2022 16:59,40,20,1
6,3/24/2022 20:38,3/24/2022 21:18,40,20,1
6,3/24/2022 21:38,3/24/2022 22:38,60,20,2
6,3/25/2022 8:15,3/25/2022 8:55,40,20,1
6,3/25/2022 13:14,3/25/2022 13:54,40,20,1
6,3/27/2022 11:43,3/27/2022 21:41,598,20,29
6,3/28/2022 1:40,3/28/2022 2:20,40,20,1
6,3/28/2022 14:37,3/28/2022 15:17,40,20,1
6,3/29/2022 12:32,3/29/2022 13:12,40,20,1
6,3/29/2022 17:11,3/29/2022 17:51,40,20,1
6,3/29/2022 23:49,3/30/2022 0:29,40,20,1
6,3/30/2022 7:27,3/30/2022 8:07,40,20,1
6,3/30/2022 11:46,3/30/2022 12:26,40,20,1
6,3/30/2022 18:05,3/30/2022 18:45,40,20,1
6,3/30/2022 19:24,3/30/2022 20:04,40,20,1
7,3/10/2022 0:29,3/10/2022 2:48,139,20,6
7,3/10/2022 8:07,3/10/2022 8:46,39,20,1
7,3/10/2022 23:02,3/10/2022 23:42,40,20,1
7,3/11/2022 7:40,3/11/2022 8:20,40,20,1
7,3/11/2022 8:20,3/11/2022 8:59,39,20,1
7,3/11/2022 9:19,3/11/2022 10:19,60,20,2
7,3/11/2022 10:59,3/11/2022 22:16,677,20,33
7,3/12/2022 6:33,3/12/2022 22:29,956,20,47
7,3/13/2022 2:07,3/13/2022 2:47,40,20,1
7,3/13/2022 9:25,3/13/2022 10:45,80,20,3
7,3/13/2022 11:25,3/13/2022 12:05,40,20,1
7,3/13/2022 19:43,3/13/2022 22:22,159,20,7
7,3/15/2022 11:51,3/15/2022 12:31,40,20,1
7,3/15/2022 15:30,3/15/2022 16:10,40,20,1
7,3/15/2022 16:10,3/15/2022 16:50,40,20,1
7,3/16/2022 17:03,3/16/2022 17:42,39,20,1
7,3/17/2022 0:40,3/17/2022 1:20,40,20,1
7,3/17/2022 14:17,3/17/2022 14:56,39,20,1
7,3/17/2022 16:16,3/17/2022 16:56,40,20,1
7,3/17/2022 19:15,3/17/2022 19:55,40,20,1
7,3/18/2022 10:31,3/18/2022 11:10,39,20,1
7,3/18/2022 20:08,3/18/2022 20:48,40,20,1
7,3/18/2022 22:27,3/19/2022 2:06,219,20,10
7,3/19/2022 11:43,3/19/2022 13:43,120,20,5
7,3/19/2022 13:43,3/19/2022 22:40,537,20,26
7,3/20/2022 11:56,3/20/2022 21:54,598,20,29
7,3/21/2022 5:31,3/21/2022 6:11,40,20,1
7,3/23/2022 7:37,3/23/2022 8:17,40,20,1
7,3/23/2022 8:17,3/23/2022 8:57,40,20,1
7,3/23/2022 14:15,3/23/2022 15:15,60,20,2
7,3/23/2022 15:35,3/23/2022 16:15,40,20,1
7,3/24/2022 1:32,3/24/2022 2:12,40,20,1
7,3/24/2022 5:51,3/24/2022 6:31,40,20,1
7,3/24/2022 10:49,3/24/2022 11:29,40,20,1
7,3/24/2022 12:49,3/24/2022 13:29,40,20,1
7,3/25/2022 3:05,3/25/2022 3:44,39,20,1
7,3/25/2022 6:24,3/25/2022 7:03,39,20,1
7,3/26/2022 17:34,3/26/2022 18:14,40,20,1
7,3/26/2022 18:53,3/26/2022 19:33,40,20,1
7,3/27/2022 11:48,3/27/2022 21:26,578,20,28
7,3/29/2022 3:57,3/29/2022 4:36,39,20,1
7,3/29/2022 13:54,3/29/2022 14:34,40,20,1
7,3/30/2022 16:26,3/30/2022 17:06,40,20,1
7,3/30/2022 22:24,3/30/2022 23:04,40,20,1
8,3/10/2022 0:36,3/10/2022 2:55,139,20,6
8,3/10/2022 4:34,3/10/2022 5:14,40,20,1
8,3/10/2022 5:34,3/10/2022 6:14,40,20,1
8,3/10/2022 6:14,3/10/2022 7:14,60,20,2
8,3/10/2022 7:54,3/10/2022 8:33,39,20,1
8,3/10/2022 10:53,3/10/2022 11:53,60,20,2
8,3/10/2022 13:32,3/10/2022 14:12,40,20,1
8,3/10/2022 15:12,3/10/2022 15:52,40,20,1
8,3/10/2022 15:52,3/10/2022 16:32,40,20,1
8,3/11/2022 2:09,3/11/2022 2:49,40,20,1
8,3/11/2022 5:48,3/11/2022 6:28,40,20,1
8,3/11/2022 7:27,3/11/2022 8:07,40,20,1
8,3/11/2022 11:06,3/11/2022 22:04,658,20,32
8,3/12/2022 2:02,3/12/2022 2:42,40,20,1
8,3/12/2022 4:02,3/12/2022 4:42,40,20,1
8,3/12/2022 5:22,3/12/2022 6:21,59,20,2
8,3/12/2022 6:21,3/12/2022 22:17,956,20,47
8,3/12/2022 23:17,3/12/2022 23:57,40,20,1
8,3/13/2022 1:16,3/13/2022 1:56,40,20,1
8,3/13/2022 7:35,3/13/2022 8:14,39,20,1
8,3/13/2022 9:34,3/13/2022 10:34,60,20,2
8,3/13/2022 10:54,3/13/2022 11:34,40,20,1
8,3/13/2022 15:53,3/13/2022 16:33,40,20,1
8,3/13/2022 18:12,3/13/2022 18:52,40,20,1
8,3/13/2022 19:32,3/13/2022 22:11,159,20,7
8,3/13/2022 22:51,3/13/2022 23:31,40,20,1
8,3/14/2022 0:50,3/14/2022 1:30,40,20,1
8,3/14/2022 13:27,3/14/2022 14:07,40,20,1
8,3/14/2022 18:06,3/14/2022 18:46,40,20,1
8,3/15/2022 3:43,3/15/2022 4:23,40,20,1
8,3/15/2022 6:23,3/15/2022 7:02,39,20,1
8,3/15/2022 7:22,3/15/2022 8:02,40,20,1
8,3/15/2022 9:02,3/15/2022 9:42,40,20,1
8,3/15/2022 9:42,3/15/2022 10:21,39,20,1
8,3/15/2022 10:41,3/15/2022 11:21,40,20,1
8,3/15/2022 14:21,3/15/2022 15:01,40,20,1
8,3/15/2022 15:01,3/15/2022 15:41,40,20,1
8,3/15/2022 22:19,3/15/2022 22:58,39,20,1
8,3/16/2022 0:58,3/16/2022 1:38,40,20,1
8,3/16/2022 6:16,3/16/2022 6:56,40,20,1
8,3/16/2022 7:16,3/16/2022 8:16,60,20,2
8,3/16/2022 12:15,3/16/2022 12:55,40,20,1
8,3/16/2022 15:34,3/16/2022 16:14,40,20,1
8,3/16/2022 17:34,3/16/2022 18:14,40,20,1
8,3/16/2022 20:33,3/16/2022 21:13,40,20,1
8,3/17/2022 6:50,3/17/2022 7:30,40,20,1
8,3/17/2022 7:50,3/17/2022 8:29,39,20,1
8,3/17/2022 13:28,3/17/2022 14:08,40,20,1
